title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
'Til There Was You (1997),2.333333333,9,Primal Fear (1996),Indiana Jones and the Last Crusade (1989),"Edge, The (1997)",Beautiful Girls (1996)
1-900 (1994),2.6,5,"Full Monty, The (1997)","Crow, The (1994)","Ice Storm, The (1997)",Hoop Dreams (1994)
101 Dalmatians (1996),2.908256881,109,Murder at 1600 (1997),Miracle on 34th Street (1994),Being There (1979),"Remains of the Day, The (1993)"
12 Angry Men (1957),4.344,125,Ulee's Gold (1997),Rear Window (1954),Seven Years in Tibet (1997),Clerks (1994)
187 (1997),3.024390244,41,Maverick (1994),Conan the Barbarian (1981),"Magnificent Seven, The (1954)",Cool Hand Luke (1967)
2 Days in the Valley (1996),3.225806452,93,"Deer Hunter, The (1978)",North by Northwest (1959),"Bridge on the River Kwai, The (1957)",Ulee's Gold (1997)
"20,000 Leagues Under the Sea (1954)",3.5,72,True Romance (1993),Ben-Hur (1959),Kiss the Girls (1997),Seven Years in Tibet (1997)
2001: A Space Odyssey (1968),3.969111969,259,True Romance (1993),Natural Born Killers (1994),Being There (1979),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
3 Ninjas: High Noon At Mega Mountain (1998),1,5,-,-,-,-
"39 Steps, The (1935)",4.050847458,59,Con Air (1997),"Frighteners, The (1996)",Swingers (1996),"River Wild, The (1994)"
8 1/2 (1963),3.815789474,38,Star Trek VI: The Undiscovered Country (1991),"Rainmaker, The (1997)",One Fine Day (1996),"Close Shave, A (1995)"
8 Heads in a Duffel Bag (1997),3.25,4,Jerry Maguire (1996),Rosewood (1997),"River Wild, The (1994)",Ransom (1996)
8 Seconds (1994),3.75,4,"Devil's Advocate, The (1997)",Die Hard 2 (1990),Die Hard: With a Vengeance (1995),Seven (Se7en) (1995)
A Chef in Love (1996),4.125,8,"Bridge on the River Kwai, The (1957)",In & Out (1997),"Empire Strikes Back, The (1980)","Peacemaker, The (1997)"
Above the Rim (1994),3,5,Father of the Bride Part II (1995),"First Wives Club, The (1996)",Fly Away Home (1996),In the Line of Fire (1993)
Absolute Power (1997),3.37007874,127,Murder at 1600 (1997),Volcano (1997),"African Queen, The (1951)",Mimic (1997)
"Abyss, The (1989)",3.589403974,151,William Shakespeare's Romeo and Juliet (1996),Ghost (1990),Singin' in the Rain (1952),Amistad (1997)
Ace Ventura: Pet Detective (1994),3.048543689,103,"Edge, The (1997)",Scream 2 (1997),Shine (1996),"Nightmare on Elm Street, A (1984)"
Ace Ventura: When Nature Calls (1995),2.675675676,37,Secrets & Lies (1996),"Killing Fields, The (1984)",Spawn (1997),"Good, The Bad and The Ugly, The (1966)"
Across the Sea of Time (1995),2.75,4,Star Trek: Generations (1994),GoldenEye (1995),Benny & Joon (1993),Little Women (1994)
Addams Family Values (1993),2.816091954,87,Father of the Bride Part II (1995),Jungle2Jungle (1997),"Fifth Element, The (1997)",Gattaca (1997)
Addicted to Love (1997),3.166666667,54,Little Women (1994),Patton (1970),Stargate (1994),12 Angry Men (1957)
"Addiction, The (1995)",2.181818182,11,That Thing You Do! (1996),Seven Years in Tibet (1997),"Sex, Lies, and Videotape (1989)",Ben-Hur (1959)
"Adventures of Pinocchio, The (1996)",3.051282051,39,Bonnie and Clyde (1967),In the Name of the Father (1993),What's Eating Gilbert Grape (1993),"Edge, The (1997)"
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.594594595,111,"Devil's Advocate, The (1997)","Sex, Lies, and Videotape (1989)",Donnie Brasco (1997),Alien: Resurrection (1997)
"Adventures of Robin Hood, The (1938)",3.791044776,67,Mimic (1997),Gattaca (1997),"Peacemaker, The (1997)",Everyone Says I Love You (1996)
"Affair to Remember, An (1957)",4.192307692,26,Fly Away Home (1996),G.I. Jane (1997),Star Trek: The Motion Picture (1979),Dante's Peak (1997)
"African Queen, The (1951)",4.184210526,152,Absolute Power (1997),"Wizard of Oz, The (1939)","Nutty Professor, The (1996)",Miracle on 34th Street (1994)
Afterglow (1997),3.111111111,18,This Is Spinal Tap (1984),Reservoir Dogs (1992),"Maltese Falcon, The (1941)",Arsenic and Old Lace (1944)
"Age of Innocence, The (1993)",3.384615385,65,Little Women (1994),Ulee's Gold (1997),"Remains of the Day, The (1993)",101 Dalmatians (1996)
Aiqing wansui (1994),5,1,-,-,-,-
Air Bud (1997),2.558139535,43,"Craft, The (1996)",Miracle on 34th Street (1994),Arsenic and Old Lace (1944),Waterworld (1995)
Air Force One (1997),3.631090487,431,"Hunt for Red October, The (1990)","Firm, The (1993)",Murder at 1600 (1997),Eraser (1996)
"Air Up There, The (1994)",2.8125,16,Fly Away Home (1996),"Deer Hunter, The (1978)",G.I. Jane (1997),On Golden Pond (1981)
Airheads (1994),2.34375,32,Ulee's Gold (1997),"Magnificent Seven, The (1954)","Last of the Mohicans, The (1992)",Alien: Resurrection (1997)
Akira (1988),3.38,50,Amistad (1997),"Ice Storm, The (1997)",Kolya (1996),Seven Years in Tibet (1997)
Aladdin (1992),3.812785388,219,"Lion King, The (1994)",Cinderella (1950),Grumpier Old Men (1995),Mrs. Doubtfire (1993)
Aladdin and the King of Thieves (1996),2.846153846,26,Strictly Ballroom (1992),Bound (1996),Evita (1996),Kiss the Girls (1997)
Alaska (1996),2.692307692,13,Platoon (1986),"Adventures of Priscilla, Queen of the Desert, The (1994)",Event Horizon (1997),Austin Powers: International Man of Mystery (1997)
Albino Alligator (1996),2.5,6,"Crow, The (1994)",Get Shorty (1995),"Full Monty, The (1997)",Four Weddings and a Funeral (1994)
Alice in Wonderland (1951),3.666666667,81,G.I. Jane (1997),"Hunchback of Notre Dame, The (1996)",Welcome to the Dollhouse (1995),"Devil's Advocate, The (1997)"
Alien (1979),4.034364261,291,Ulee's Gold (1997),Swingers (1996),"Magnificent Seven, The (1954)",Alien: Resurrection (1997)
